Client_ID,Last_Purchase_Date,Frequency,Monetary_Spendings,Behavior_Score,Churn,Recency
Client_70,2025-03-03 17:26:37.168127,14,77.84,0.43,1,259
Client_71,2025-01-21 17:26:37.168127,33,251.14,0.98,1,300
Client_72,2025-02-27 17:26:37.168127,43,438.21,0.84,0,263
Client_73,2025-11-09 17:26:37.168127,29,99.39,0.33,0,8
Client_74,2025-10-07 17:26:37.168127,1,304.06,0.6,1,41
Client_75,2025-07-15 17:26:37.168127,18,40.67,0.98,0,125
Client_76,2025-10-25 17:26:37.168127,30,290.64,0.14,0,23
Client_77,2025-09-13 17:26:37.168127,12,455.93,0.76,0,65
Client_78,2025-01-22 17:26:37.168127,48,391.71,0.52,1,299
Client_79,2025-09-24 17:26:37.168127,25,453.96,0.86,0,54
Client_80,2025-04-07 17:26:37.168127,37,407.97,0.74,1,224
Client_81,2025-02-10 17:26:37.168127,37,208.47,0.31,1,280
Client_82,2025-06-06 17:26:37.168127,15,439.39,0.94,0,164
Client_83,2025-04-14 17:26:37.168127,35,131.68,0.84,0,217
Client_84,2025-09-21 17:26:37.168127,16,284.45,0.94,0,57
Client_85,2025-09-25 17:26:37.168127,2,417.07,0.6,1,53
Client_86,2025-10-18 17:26:37.168127,17,304.84,0.97,1,30
Client_87,2025-05-05 17:26:37.168127,16,266.09,0.2,0,196
Client_88,2025-06-29 17:26:37.168127,45,468.32,0.24,0,141
Client_89,2025-08-25 17:26:37.168127,15,406.03,0.55,0,84
Client_90,2025-03-22 17:26:37.168127,24,227.73,0.36,1,240
Client_91,2025-07-04 17:26:37.168127,12,45.67,0.62,0,136
Client_92,2025-10-19 17:26:37.168127,17,376.01,0.51,0,29
Client_93,2025-08-07 17:26:37.168127,2,397.23,0.41,1,102
Client_94,2025-10-19 17:26:37.168127,25,41.27,0.93,0,29
Client_95,2025-10-15 17:26:37.168127,10,397.47,0.23,0,33
Client_96,2025-03-04 17:26:37.168127,16,36.64,0.01,0,258
Client_97,2025-10-11 17:26:37.168127,7,439.15,0.45,0,37
Client_98,2025-11-17 17:26:37.168127,43,464.98,0.42,0,0
Client_99,2025-10-11 17:26:37.168127,34,429.43,0.09,0,37
Client_100,2025-09-27 17:26:37.168127,24,448.91,0.66,0,51
Client_101,2025-01-29 17:26:37.168127,11,410.45,0.35,0,292
Client_102,2025-07-26 17:26:37.168127,49,410.66,0.06,1,114
Client_103,2025-06-09 17:26:37.168127,3,452.19,0.55,0,161
Client_104,2025-11-11 17:26:37.168127,6,160.7,0.38,1,6
Client_105,2025-04-14 17:26:37.168127,28,387.1,0.96,0,217
Client_106,2025-08-03 17:26:37.168127,43,287.25,0.89,1,106
Client_107,2025-05-15 17:26:37.168127,8,322.81,0.84,1,186
Client_108,2025-03-05 17:26:37.168127,36,38.4,0.38,1,257
Client_109,2025-04-01 17:26:37.168127,45,390.25,0.08,0,230
Client_110,2025-10-26 17:26:37.168127,28,79.38,0.31,0,22
Client_111,2025-01-13 17:26:37.168127,15,135.22,0.05,0,308
Client_112,2025-03-06 17:26:37.168127,33,47.66,0.16,1,256
Client_113,2025-03-12 17:26:37.168127,9,488.46,0.93,0,250
Client_114,2025-09-28 17:26:37.168127,16,377.2,0.68,0,50
Client_115,2025-09-24 17:26:37.168127,38,367.76,0.44,0,54
Client_116,2024-12-06 17:26:37.168127,48,350.41,0.48,0,346
Client_117,2025-06-22 17:26:37.168127,20,442.13,0.47,0,148
Client_118,2025-06-11 17:26:37.168127,18,405.33,0.91,1,159
Client_119,2025-01-14 17:26:37.168127,33,264.11,0.27,1,307
Client_120,2025-05-07 17:26:37.168127,47,495.93,0.81,0,194
Client_121,2025-09-08 17:26:37.168127,40,154.16,0.09,0,70
Client_122,2025-03-15 17:26:37.168127,42,120.73,0.44,0,247
Client_123,2025-08-01 17:26:37.168127,19,257.6,0.29,1,108
Client_124,2024-12-23 17:26:37.168127,42,134.2,0.15,0,329
Client_125,2025-03-07 17:26:37.168127,45,450.48,0.09,0,255
Client_126,2025-07-17 17:26:37.168127,50,177.81,0.75,1,123
Client_127,2025-08-26 17:26:37.168127,32,423.9,0.18,0,83
Client_128,2025-06-07 17:26:37.168127,28,59.43,0.88,0,163
Client_129,2025-06-25 17:26:37.168127,5,446.89,0.8,1,145
Client_130,2025-09-10 17:26:37.168127,18,198.28,0.74,0,68
Client_131,2025-02-24 17:26:37.168127,37,274.72,0.72,0,266
Client_132,2025-06-09 17:26:37.168127,49,271.91,0.48,0,161
Client_133,2025-05-17 17:26:37.168127,48,25.51,0.41,0,184
Client_134,2025-10-29 17:26:37.168127,9,207.89,0.15,0,19
Client_135,2025-03-31 17:26:37.168127,48,335.93,0.64,0,231
Client_136,2025-02-06 17:26:37.168127,30,36.33,0.79,1,284
Client_137,2025-01-29 17:26:37.168127,3,313.43,0.02,1,292
Client_138,2025-03-28 17:26:37.168127,29,60.5,0.86,1,234
Client_139,2024-11-21 17:26:37.168127,45,261.63,0.44,1,361
Client_140,2025-02-25 17:26:37.168127,32,83.92,0.14,1,265
Client_141,2025-10-22 17:26:37.168127,49,422.89,0.2,0,26
Client_142,2025-01-18 17:26:37.168127,21,35.22,0.89,1,303
Client_143,2025-11-16 17:26:37.168127,26,183.54,0.32,1,1
Client_144,2025-11-16 17:26:37.168127,50,28.93,0.79,0,1
Client_145,2024-12-15 17:26:37.168127,49,428.63,0.42,0,337
Client_146,2024-12-02 17:26:37.168127,13,189.42,0.95,0,350
Client_147,2025-02-01 17:26:37.168127,39,164.26,0.12,0,289
Client_148,2025-10-06 17:26:37.168127,13,372.79,0.15,0,42
Client_149,2025-10-22 17:26:37.168127,46,266.33,0.34,1,26
Client_150,2025-05-22 17:26:37.168127,12,103.52,0.62,1,179
Client_151,2025-08-12 17:26:37.168127,35,208.47,0.25,0,97
Client_152,2025-04-05 17:26:37.168127,23,153.64,0.62,0,226
Client_153,2025-10-18 17:26:37.168127,49,101.25,0.75,0,30
Client_154,2025-11-04 17:26:37.168127,17,219.44,0.78,0,13
Client_155,2025-08-01 17:26:37.168127,45,326.19,0.93,0,108
Client_156,2025-02-13 17:26:37.168127,28,484.24,0.6,1,277
Client_157,2025-01-30 17:26:37.168127,19,343.13,0.56,0,291
Client_158,2025-02-23 17:26:37.168127,6,294.63,0.38,0,267
Client_159,2024-12-28 17:26:37.168127,4,61.73,0.42,0,324
Client_160,2025-03-19 17:26:37.168127,11,300.63,0.54,0,243
Client_161,2025-07-19 17:26:37.168127,19,497.83,0.2,1,121
Client_162,2025-05-07 17:26:37.168127,43,230.01,0.09,0,194
Client_163,2025-01-07 17:26:37.168127,29,355.51,0.55,0,314
Client_164,2025-04-25 17:26:37.168127,34,22.71,0.62,0,206
Client_165,2024-12-31 17:26:37.168127,12,369.9,0.45,0,321
Client_166,2025-06-11 17:26:37.168127,50,336.27,0.67,0,159
Client_167,2025-09-20 17:26:37.168127,12,172.74,0.53,0,58
Client_168,2025-07-30 17:26:37.168127,24,79.26,0.1,0,110
Client_169,2024-12-21 17:26:37.168127,31,280.42,0.95,1,331
Client_170,2025-10-22 17:26:37.168127,44,155.58,0.13,0,26
Client_171,2025-03-10 17:26:37.168127,21,145.48,0.52,0,252
Client_172,2025-10-17 17:26:37.168127,43,76.87,0.37,0,31
Client_173,2024-11-22 17:26:37.168127,32,450.99,0.5,0,360
Client_174,2024-12-29 17:26:37.168127,36,379.68,0.64,0,323
Client_175,2025-01-30 17:26:37.168127,45,186.99,0.35,0,291
Client_176,2025-11-17 17:26:37.168127,25,359.04,0.74,0,0
Client_177,2025-08-04 17:26:37.168127,50,361.02,0.34,0,105
Client_178,2025-06-30 17:26:37.168127,42,468.4,0.46,1,140
Client_179,2024-12-29 17:26:37.168127,42,187.01,0.2,0,323
Client_180,2025-02-11 17:26:37.168127,5,472.42,0.8,1,279
Client_181,2025-05-18 17:26:37.168127,40,353.65,0.89,1,183
Client_182,2025-08-19 17:26:37.168127,24,465.44,0.58,0,90
Client_183,2025-01-15 17:26:37.168127,29,267.58,0.03,0,306
Client_184,2025-11-17 17:26:37.168127,3,462.8,0.54,0,0
Client_185,2025-09-01 17:26:37.168127,15,269.93,0.13,1,77
Client_186,2025-10-23 17:26:37.168127,13,208.53,0.4,1,25
Client_187,2025-05-08 17:26:37.168127,28,496.42,0.94,0,193
Client_188,2025-01-02 17:26:37.168127,38,488.03,0.35,0,319
Client_189,2025-06-01 17:26:37.168127,44,425.21,0.85,0,169
Client_190,2025-04-18 17:26:37.168127,18,172.49,0.91,1,213
Client_191,2025-01-21 17:26:37.168127,9,68.99,0.8,0,300
Client_192,2025-09-27 17:26:37.168127,37,390.1,0.66,1,51
Client_193,2025-06-04 17:26:37.168127,33,196.22,0.18,0,166
Client_194,2025-09-14 17:26:37.168127,25,365.18,0.63,1,64
Client_195,2025-09-16 17:26:37.168127,17,46.91,0.48,0,62
Client_196,2024-12-23 17:26:37.168127,21,421.64,0.21,0,329
Client_197,2025-08-29 17:26:37.168127,31,49.49,0.63,1,80
Client_198,2025-06-29 17:26:37.168127,13,425.02,0.81,0,141
Client_199,2025-07-07 17:26:37.168127,6,426.32,0.53,0,133
Client_200,2025-05-26 17:26:37.168127,25,28.53,0.39,0,175
Client_201,2025-03-10 17:26:37.168127,39,262.58,0.69,0,252
Client_202,2025-01-29 17:26:37.168127,11,308.46,0.12,0,292
Client_203,2025-06-07 17:26:37.168127,7,77.36,0.5,0,163
Client_204,2024-12-09 17:26:37.168127,17,324.82,0.97,1,343
Client_205,2025-03-24 17:26:37.168127,18,252.13,0.62,1,238
Client_206,2025-06-11 17:26:37.168127,4,223.21,0.99,0,159
Client_207,2024-12-04 17:26:37.168127,23,59.4,0.82,0,348
Client_208,2025-09-29 17:26:37.168127,41,361.97,0.95,0,49
Client_209,2024-12-29 17:26:37.168127,2,313.81,0.37,0,323
Client_210,2025-10-19 17:26:37.168127,46,409.2,0.87,0,29
Client_211,2025-05-22 17:26:37.168127,43,381.81,0.53,0,179
Client_212,2025-09-21 17:26:37.168127,16,403.23,0.68,0,57
Client_213,2025-01-16 17:26:37.168127,24,398.07,0.21,1,305
Client_214,2025-01-17 17:26:37.168127,27,167.01,0.19,1,304
Client_215,2025-09-16 17:26:37.168127,19,194.97,0.66,0,62
Client_216,2025-01-09 17:26:37.168127,49,196.12,0.6,0,312
Client_217,2025-04-02 17:26:37.168127,36,258.31,0.42,1,229
Client_218,2025-07-16 17:26:37.168127,40,355.04,0.61,0,124
Client_219,2025-08-18 17:26:37.168127,46,59.12,0.46,1,91
Client_220,2025-10-25 17:26:37.168127,50,383.03,0.74,1,23
Client_221,2024-11-29 17:26:37.168127,6,224.15,0.87,0,353
Client_222,2025-04-08 17:26:37.168127,32,230.95,0.13,0,223
Client_223,2025-01-29 17:26:37.168127,12,396.94,0.59,1,292
Client_224,2025-08-31 17:26:37.168127,46,149.12,0.07,1,78
Client_225,2024-12-21 17:26:37.168127,44,368.61,0.22,0,331
Client_226,2025-01-11 17:26:37.168127,35,57.93,0.43,0,310
Client_227,2025-03-30 17:26:37.168127,3,94.15,0.69,1,232
Client_228,2024-11-21 17:26:37.168127,30,323.9,0.54,0,361
Client_229,2025-08-23 17:26:37.168127,11,85.04,0.87,0,86
Client_230,2025-03-25 17:26:37.168127,38,39.92,0.33,0,237
Client_231,2025-10-04 17:26:37.168127,10,326.98,0.11,0,44
Client_232,2025-11-02 17:26:37.168127,31,384.45,0.9,1,15
Client_233,2025-03-12 17:26:37.168127,6,180.62,0.18,0,250
Client_234,2025-09-04 17:26:37.168127,44,24.23,0.3,1,74
Client_235,2025-11-11 17:26:37.168127,35,429.52,0.13,1,6
Client_236,2024-12-21 17:26:37.168127,50,48.51,0.24,0,331
Client_237,2025-08-28 17:26:37.168127,45,36.5,0.55,0,81
Client_238,2025-05-14 17:26:37.168127,25,166.96,0.85,0,187
Client_239,2025-07-15 17:26:37.168127,1,161.41,0.6,0,125
Client_240,2025-10-11 17:26:37.168127,8,81.71,0.15,0,37
Client_241,2025-05-05 17:26:37.168127,16,327.46,0.31,1,196
Client_242,2025-03-08 17:26:37.168127,27,54.76,0.86,0,254
Client_243,2025-06-25 17:26:37.168127,50,403.27,0.75,0,145
Client_244,2025-11-17 17:26:37.168127,14,29.05,0.56,0,0
Client_245,2025-08-10 17:26:37.168127,41,187.2,0.23,1,99
Client_246,2025-09-02 17:26:37.168127,32,233.16,0.73,0,76
Client_247,2025-09-18 17:26:37.168127,46,263.52,0.33,0,60
Client_248,2025-07-29 17:26:37.168127,34,36.98,0.73,0,111
Client_249,2025-06-27 17:26:37.168127,44,32.25,0.0,0,143
Client_250,2024-12-27 17:26:37.168127,46,413.45,0.2,1,325
Client_251,2025-04-26 17:26:37.168127,31,22.18,0.3,0,205
Client_252,2025-08-30 17:26:37.168127,12,475.58,0.89,0,79
Client_253,2025-07-29 17:26:37.168127,50,92.99,0.21,1,111
Client_254,2025-10-18 17:26:37.168127,43,495.42,0.48,1,30
Client_255,2025-02-06 17:26:37.168127,31,155.6,0.71,0,284
Client_256,2025-01-25 17:26:37.168127,39,125.2,0.16,0,296
Client_257,2025-04-20 17:26:37.168127,42,485.08,0.07,0,211
Client_258,2025-07-06 17:26:37.168127,26,180.07,0.6,0,134
Client_259,2025-08-28 17:26:37.168127,30,67.66,0.91,1,81
Client_260,2025-10-16 17:26:37.168127,9,22.48,0.88,0,32
Client_261,2025-02-23 17:26:37.168127,13,340.82,0.73,0,267
Client_262,2025-08-12 17:26:37.168127,43,273.23,0.03,0,97
Client_263,2025-04-27 17:26:37.168127,49,444.9,0.03,1,204
Client_264,2024-12-30 17:26:37.168127,1,207.66,0.4,0,322
Client_265,2025-02-02 17:26:37.168127,7,463.72,0.34,0,288
Client_266,2025-05-06 17:26:37.168127,4,49.36,0.88,0,195
Client_267,2025-09-26 17:26:37.168127,1,466.4,0.92,0,52
Client_268,2025-03-06 17:26:37.168127,49,438.64,0.66,0,256
Client_269,2025-02-04 17:26:37.168127,19,51.31,0.15,0,286
Client_270,2025-02-15 17:26:37.168127,31,338.81,0.2,0,275
Client_271,2024-12-26 17:26:37.168127,42,173.76,0.63,0,326
Client_272,2025-02-13 17:26:37.168127,49,216.5,0.38,0,277
Client_273,2025-08-24 17:26:37.168127,40,389.24,0.3,0,85
Client_274,2025-07-15 17:26:37.168127,23,185.81,0.86,0,125
Client_275,2025-08-18 17:26:37.168127,10,86.12,0.31,0,91
Client_276,2025-08-27 17:26:37.168127,13,320.65,0.56,0,82
Client_277,2025-09-25 17:26:37.168127,44,104.56,0.25,0,53
Client_278,2025-02-06 17:26:37.168127,49,219.58,0.65,0,284
Client_279,2025-01-21 17:26:37.168127,19,447.19,0.77,0,300
Client_280,2025-04-26 17:26:37.168127,31,276.38,0.03,0,205
Client_281,2024-11-26 17:26:37.168127,8,297.28,0.36,1,356
Client_282,2025-05-22 17:26:37.168127,17,386.8,0.08,0,179
Client_283,2025-05-19 17:26:37.168127,22,273.21,0.04,0,182
Client_284,2025-05-24 17:26:37.168127,32,499.56,0.5,1,177
Client_285,2025-06-23 17:26:37.168127,43,264.41,0.52,0,147
Client_286,2025-04-07 17:26:37.168127,5,438.77,0.38,0,224
Client_287,2025-03-11 17:26:37.168127,24,498.17,0.1,0,251
Client_288,2025-04-07 17:26:37.168127,16,407.22,0.96,0,224
Client_289,2024-11-23 17:26:37.168127,4,162.48,0.69,1,359
Client_290,2025-06-28 17:26:37.168127,40,122.21,0.94,0,142
Client_291,2025-02-01 17:26:37.168127,45,100.59,0.62,0,289
Client_292,2024-12-05 17:26:37.168127,22,202.22,0.63,1,347
Client_293,2025-11-03 17:26:37.168127,20,434.85,0.79,0,14
Client_294,2025-06-21 17:26:37.168127,31,103.83,0.56,0,149
Client_295,2025-10-17 17:26:37.168127,11,74.67,0.52,0,31
Client_296,2025-06-19 17:26:37.168127,35,324.91,0.4,0,151
Client_297,2025-07-07 17:26:37.168127,15,390.73,0.69,0,133
Client_298,2025-03-25 17:26:37.168127,41,280.45,0.23,0,237
Client_299,2024-12-08 17:26:37.168127,10,492.18,0.72,0,344
Client_300,2025-06-10 17:26:37.168127,12,240.76,0.26,0,160
Client_301,2025-03-18 17:26:37.168127,36,217.25,0.82,0,244
Client_302,2025-01-08 17:26:37.168127,26,358.92,0.33,1,313
Client_303,2025-11-02 17:26:37.168127,10,395.23,0.59,0,15
Client_304,2025-04-09 17:26:37.168127,14,167.81,0.77,1,222
Client_305,2025-03-04 17:26:37.168127,43,156.75,0.58,0,258
Client_306,2025-09-16 17:26:37.168127,29,209.76,0.58,0,62
Client_307,2025-01-03 17:26:37.168127,16,439.45,0.11,1,318
Client_308,2025-07-07 17:26:37.168127,46,232.3,0.36,1,133
Client_309,2025-11-02 17:26:37.168127,15,308.14,0.75,0,15
Client_310,2025-05-05 17:26:37.168127,13,89.27,0.7,0,196
Client_311,2025-02-17 17:26:37.168127,39,473.73,0.38,0,273
Client_312,2025-10-16 17:26:37.168127,5,173.75,0.94,0,32
Client_313,2025-02-15 17:26:37.168127,17,384.5,0.69,0,275
Client_314,2025-07-18 17:26:37.168127,33,332.89,0.21,0,122
Client_315,2025-03-07 17:26:37.168127,20,419.33,0.54,0,255
Client_316,2025-11-04 17:26:37.168127,36,158.44,0.29,0,13
Client_317,2025-06-30 17:26:37.168127,27,205.38,0.5,0,140
Client_318,2025-03-19 17:26:37.168127,24,442.13,0.18,0,243
Client_319,2025-10-26 17:26:37.168127,1,169.51,0.89,0,22
Client_320,2025-06-03 17:26:37.168127,22,259.02,0.12,0,167
Client_321,2025-07-25 17:26:37.168127,27,433.66,0.8,1,115
Client_322,2025-06-20 17:26:37.168127,50,337.6,0.9,1,150
Client_323,2025-10-04 17:26:37.168127,36,362.16,0.43,0,44
Client_324,2025-08-07 17:26:37.168127,13,102.75,0.65,0,102
Client_325,2025-07-11 17:26:37.168127,24,463.78,0.36,1,129
Client_326,2025-04-16 17:26:37.168127,50,140.87,0.1,0,215
Client_327,2024-11-27 17:26:37.168127,21,259.73,0.69,0,355
Client_328,2025-05-07 17:26:37.168127,19,444.32,0.1,0,194
Client_329,2025-01-13 17:26:37.168127,42,496.33,0.31,0,308
Client_330,2025-09-08 17:26:37.168127,32,135.16,0.97,0,70
Client_331,2025-02-06 17:26:37.168127,50,250.02,0.25,1,284
Client_332,2025-03-26 17:26:37.168127,6,300.83,0.07,1,236
Client_333,2025-05-30 17:26:37.168127,41,468.43,0.29,0,171
Client_334,2024-11-29 17:26:37.168127,1,74.3,0.41,1,353
Client_335,2025-08-07 17:26:37.168127,10,352.33,0.81,0,102
Client_336,2024-12-17 17:26:37.168127,28,443.0,0.27,0,335
Client_337,2025-03-12 17:26:37.168127,15,178.56,0.84,0,250
Client_338,2025-06-23 17:26:37.168127,35,173.74,0.04,0,147
Client_339,2025-08-19 17:26:37.168127,17,225.41,0.24,0,90
Client_340,2025-05-04 17:26:37.168127,22,33.64,0.07,0,197
Client_341,2025-03-11 17:26:37.168127,12,248.35,0.02,0,251
Client_342,2025-06-03 17:26:37.168127,23,433.99,0.07,1,167
Client_343,2025-10-30 17:26:37.168127,20,63.69,0.7,0,18
Client_344,2025-10-04 17:26:37.168127,26,459.39,0.62,1,44
Client_345,2025-02-01 17:26:37.168127,32,250.25,0.08,0,289
Client_346,2025-02-17 17:26:37.168127,13,275.13,0.05,1,273
Client_347,2025-01-17 17:26:37.168127,43,339.47,0.31,0,304
Client_348,2025-09-03 17:26:37.168127,46,456.81,0.62,0,75
Client_349,2025-08-04 17:26:37.168127,36,434.12,0.3,0,105
Client_350,2025-04-11 17:26:37.168127,5,346.8,0.25,1,220
Client_351,2025-06-10 17:26:37.168127,36,287.4,0.44,0,160
Client_352,2025-09-01 17:26:37.168127,17,130.1,0.55,0,77
Client_353,2025-01-08 17:26:37.168127,47,173.42,0.13,1,313
Client_354,2025-04-04 17:26:37.168127,11,303.9,0.9,0,227
Client_355,2025-05-30 17:26:37.168127,46,213.95,0.12,0,171
Client_356,2024-12-30 17:26:37.168127,22,215.84,0.53,0,322
Client_357,2025-09-16 17:26:37.168127,31,21.34,0.82,1,62
Client_358,2025-05-18 17:26:37.168127,17,324.99,0.87,0,183
Client_359,2025-02-02 17:26:37.168127,12,58.79,0.56,1,288
Client_360,2025-09-29 17:26:37.168127,25,71.37,0.52,1,49
Client_361,2025-11-09 17:26:37.168127,27,195.18,0.61,0,8
Client_362,2025-04-11 17:26:37.168127,1,304.94,0.03,0,220
Client_363,2024-12-27 17:26:37.168127,22,190.67,0.54,1,325
Client_364,2025-06-18 17:26:37.168127,24,129.28,0.99,0,152
Client_365,2025-08-30 17:26:37.168127,28,143.3,0.59,0,79
Client_366,2025-04-19 17:26:37.168127,36,159.25,0.91,0,212
Client_367,2025-09-13 17:26:37.168127,45,307.69,0.67,0,65
Client_368,2025-01-19 17:26:37.168127,10,232.24,0.57,0,302
Client_369,2025-11-09 17:26:37.168127,15,337.86,0.49,1,8
Client_370,2024-12-21 17:26:37.168127,39,398.01,0.35,0,331
Client_371,2025-03-07 17:26:37.168127,3,190.08,0.37,1,255
Client_372,2025-10-25 17:26:37.168127,6,441.07,0.32,0,23
Client_373,2025-08-17 17:26:37.168127,2,350.8,0.45,0,92
Client_374,2025-10-08 17:26:37.168127,12,95.08,0.57,0,40
Client_375,2025-04-22 17:26:37.168127,34,258.21,0.94,1,209
Client_376,2024-12-21 17:26:37.168127,9,227.98,0.66,0,331
Client_377,2025-03-19 17:26:37.168127,24,200.29,0.24,0,243
Client_378,2025-02-18 17:26:37.168127,27,460.67,0.85,1,272
Client_379,2025-06-05 17:26:37.168127,21,439.27,0.55,0,165
Client_380,2025-03-06 17:26:37.168127,46,284.89,0.84,0,256
Client_381,2025-04-10 17:26:37.168127,18,66.2,0.12,1,221
Client_382,2025-10-03 17:26:37.168127,14,336.14,0.57,0,45
Client_383,2025-04-14 17:26:37.168127,7,459.3,0.95,0,217
Client_384,2024-12-12 17:26:37.168127,12,165.4,0.21,0,340
Client_385,2024-12-28 17:26:37.168127,12,364.26,0.29,0,324
Client_386,2025-04-10 17:26:37.168127,10,411.55,0.58,0,221
Client_387,2025-04-27 17:26:37.168127,16,338.8,0.1,0,204
Client_388,2025-06-01 17:26:37.168127,34,432.86,0.31,0,169
Client_389,2025-10-14 17:26:37.168127,23,43.81,0.87,0,34
Client_390,2025-07-12 17:26:37.168127,19,170.27,0.95,0,128
Client_391,2025-07-05 17:26:37.168127,47,312.58,0.97,0,135
Client_392,2024-11-29 17:26:37.168127,35,167.81,0.27,0,353
Client_393,2025-01-16 17:26:37.168127,29,455.61,0.91,0,305
Client_394,2025-01-16 17:26:37.168127,13,317.74,0.04,0,305
Client_395,2024-12-05 17:26:37.168127,31,184.28,0.39,0,347
Client_396,2025-05-19 17:26:37.168127,39,50.26,0.87,0,182
Client_397,2024-12-19 17:26:37.168127,2,454.64,0.63,0,333
